Entry	Entry Name
A0A061ERK2	A0A061ERK2_THECC
A0A061ERK5	A0A061ERK5_THECC
A0A061ESV0	A0A061ESV0_THECC
A0A061FAR0	A0A061FAR0_THECC
A0A061FKJ1	A0A061FKJ1_THECC
A0A061FKJ6	A0A061FKJ6_THECC
A0A061FSC4	A0A061FSC4_THECC
A0A061FSY9	A0A061FSY9_THECC
A0A061FTE2	A0A061FTE2_THECC
A0A061FWM6	A0A061FWM6_THECC
A0A061GX25	A0A061GX25_THECC
A0A061GX90	A0A061GX90_THECC
A0A061GXT0	A0A061GXT0_THECC
A0A061GYR4	A0A061GYR4_THECC
A0A067EA18	A0A067EA18_CITSI
A0A067EBE7	A0A067EBE7_CITSI
A0A067EJ05	A0A067EJ05_CITSI
A0A067EMA2	A0A067EMA2_CITSI
A0A067ES60	A0A067ES60_CITSI
A0A067EVQ5	A0A067EVQ5_CITSI
A0A067EVR0	A0A067EVR0_CITSI
A0A067FNZ7	A0A067FNZ7_CITSI
A0A067FUC0	A0A067FUC0_CITSI
A0A067G0F5	A0A067G0F5_CITSI
A0A067GBZ0	A0A067GBZ0_CITSI
A0A067H3D4	A0A067H3D4_CITSI
A0A067L3K4	A0A067L3K4_JATCU
A0A068TQR0	A0A068TQR0_COFCA
A0A068UMU7	A0A068UMU7_COFCA
A0A068UNT0	A0A068UNT0_COFCA
A0A068VCQ4	A0A068VCQ4_COFCA
A0A072TM83	A0A072TM83_MEDTR
A0A072TZT9	A0A072TZT9_MEDTR
A0A072U047	A0A072U047_MEDTR
A0A072U0V9	A0A072U0V9_MEDTR
A0A072UB42	A0A072UB42_MEDTR
A0A072UHQ4	A0A072UHQ4_MEDTR
A0A072V7M6	A0A072V7M6_MEDTR
A0A077RR28	A0A077RR28_WHEAT
A0A077RUW0	A0A077RUW0_WHEAT
A0A077RVR2	A0A077RVR2_WHEAT
A0A077RX89	A0A077RX89_WHEAT
A0A077S4X1	A0A077S4X1_WHEAT
A0A078F4B4	A0A078F4B4_BRANA
A0A078F622	A0A078F622_BRANA
A0A078F801	A0A078F801_BRANA
A0A078FCR6	A0A078FCR6_BRANA
A0A078FE41	A0A078FE41_BRANA
A0A078FI62	A0A078FI62_BRANA
A0A078FJ58	A0A078FJ58_BRANA
A0A078FZC6	A0A078FZC6_BRANA
A0A078G063	A0A078G063_BRANA
A0A078G2D3	A0A078G2D3_BRANA
A0A078G3W7	A0A078G3W7_BRANA
A0A078G872	A0A078G872_BRANA
A0A078GDG7	A0A078GDG7_BRANA
A0A078GEB0	A0A078GEB0_BRANA
A0A078GEM1	A0A078GEM1_BRANA
A0A078GPR7	A0A078GPR7_BRANA
A0A078GX06	A0A078GX06_BRANA
A0A078H0X7	A0A078H0X7_BRANA
A0A078H1D8	A0A078H1D8_BRANA
A0A078HMG3	A0A078HMG3_BRANA
A0A078HNC1	A0A078HNC1_BRANA
A0A078HNP3	A0A078HNP3_BRANA
A0A078HSV6	A0A078HSV6_BRANA
A0A078HW57	A0A078HW57_BRANA
A0A078HXS3	A0A078HXS3_BRANA
A0A078I3A3	A0A078I3A3_BRANA
A0A078I3Q4	A0A078I3Q4_BRANA
A0A078I478	A0A078I478_BRANA
A0A078I5C9	A0A078I5C9_BRANA
A0A078I9Q6	A0A078I9Q6_BRANA
A0A078IC31	A0A078IC31_BRANA
A0A078IEU0	A0A078IEU0_BRANA
A0A078IFM5	A0A078IFM5_BRANA
A0A078IG47	A0A078IG47_BRANA
A0A078IKF2	A0A078IKF2_BRANA
A0A078IPF7	A0A078IPF7_BRANA
A0A078IU37	A0A078IU37_BRANA
A0A078IUK3	A0A078IUK3_BRANA
A0A078IZC8	A0A078IZC8_BRANA
A0A078J5J3	A0A078J5J3_BRANA
A0A078J6L2	A0A078J6L2_BRANA
A0A078J8K3	A0A078J8K3_BRANA
A0A078JE27	A0A078JE27_BRANA
A0A078JIR4	A0A078JIR4_BRANA
A0A087FWF7	A0A087FWF7_ARAAL
A0A087FZ93	A0A087FZ93_ARAAL
A0A087G510	A0A087G510_ARAAL
A0A087G542	A0A087G542_ARAAL
A0A087G5F5	A0A087G5F5_ARAAL
A0A087G700	A0A087G700_ARAAL
A0A087GAX6	A0A087GAX6_ARAAL
A0A087GCD7	A0A087GCD7_ARAAL
A0A087GEL0	A0A087GEL0_ARAAL
A0A087GJI4	A0A087GJI4_ARAAL
A0A087GSD1	A0A087GSD1_ARAAL
A0A087GSG7	A0A087GSG7_ARAAL
A0A087GYE5	A0A087GYE5_ARAAL
A0A087H1E6	A0A087H1E6_ARAAL
A0A087H392	A0A087H392_ARAAL
A0A087H460	A0A087H460_ARAAL
A0A087H6C1	A0A087H6C1_ARAAL
A0A087HI33	A0A087HI33_ARAAL
A0A087HJJ3	A0A087HJJ3_ARAAL
A0A087HLV2	A0A087HLV2_ARAAL
A0A087HPB6	A0A087HPB6_ARAAL
A0A087HR11	A0A087HR11_ARAAL
A0A087HS98	A0A087HS98_ARAAL
A0A096PQY2	A0A096PQY2_MAIZE
A0A096ZNF9	A0A096ZNF9_9ROSI
A0A0A0K353	A0A0A0K353_CUCSA
A0A0A0K7P6	A0A0A0K7P6_CUCSA
A0A0A0K8M4	A0A0A0K8M4_CUCSA
A0A0A0KBR0	A0A0A0KBR0_CUCSA
A0A0A0KEP1	A0A0A0KEP1_CUCSA
A0A0A0L192	A0A0A0L192_CUCSA
A0A0A0LBW3	A0A0A0LBW3_CUCSA
A0A0A0LDP1	A0A0A0LDP1_CUCSA
A0A0A0LFD8	A0A0A0LFD8_CUCSA
A0A0A0LVH2	A0A0A0LVH2_CUCSA
A0A0A0LXL0	A0A0A0LXL0_CUCSA
A0A0A9EPI3	A0A0A9EPI3_ARUDO
A0A0A9S9M6	A0A0A9S9M6_ARUDO
A0A0B2PZQ3	A0A0B2PZQ3_GLYSO
A0A0B4ZTP8	A0A0B4ZTP8_PUNGR
A0A0C5AWN9	A0A0C5AWN9_LOLPR
A0A0C5AWP6	A0A0C5AWP6_LOLPR
A0A0C5AYX4	A0A0C5AYX4_LOLPR
A0A0C5B8P8	A0A0C5B8P8_LOLPR
A0A0D2TS22	A0A0D2TS22_GOSRA
