Entry	Entry Name
V4MFW1	V4MFW1_EUTSA
V4MYT2	V4MYT2_EUTSA
V4NA55	V4NA55_EUTSA
V4NG96	V4NG96_EUTSA
V4P3Y3	V4P3Y3_EUTSA
V4P9G6	V4P9G6_EUTSA
V4TQ11	V4TQ11_CITCL
A0A010RWL1	A0A010RWL1_9PEZI
A0A022RSM0	A0A022RSM0_ERYGU
A0A059A8T0	A0A059A8T0_EUCGR
A0A059BTM1	A0A059BTM1_EUCGR
A0A059CXT9	A0A059CXT9_EUCGR
A0A059CZZ0	A0A059CZZ0_EUCGR
A0A059VC57	A0A059VC57_9ROSI
A0A061DN69	A0A061DN69_THECC
A0A061DWI8	A0A061DWI8_THECC
A0A061DWU0	A0A061DWU0_THECC
A0A061EDS8	A0A061EDS8_THECC
A0A061FJ90	A0A061FJ90_THECC
A0A061FYS3	A0A061FYS3_THECC
A0A061FZC9	A0A061FZC9_THECC
A0A061G1H2	A0A061G1H2_THECC
A0A063BTN5	A0A063BTN5_USTVR
A0A066X0B4	A0A066X0B4_COLSU
A0A067DGY1	A0A067DGY1_CITSI
A0A067E775	A0A067E775_CITSI
A0A067EBY9	A0A067EBY9_CITSI
A0A067K4G6	A0A067K4G6_JATCU
A0A067S8A7	A0A067S8A7_GALM3
A0A068TZJ2	A0A068TZJ2_COFCA
A0A068ULR5	A0A068ULR5_COFCA
A0A068VEC4	A0A068VEC4_COFCA
A0A072P800	A0A072P800_9EURO
A0A072THL5	A0A072THL5_MEDTR
A0A072TY90	A0A072TY90_MEDTR
A0A072TZ36	A0A072TZ36_MEDTR
A0A074W2W6	A0A074W2W6_9PEZI
A0A074W3S1	A0A074W3S1_9PEZI
A0A074WB80	A0A074WB80_9PEZI
A0A074WBR2	A0A074WBR2_9PEZI
A0A074WVU4	A0A074WVU4_9PEZI
A0A074XBW7	A0A074XBW7_AURPU
A0A074XSI2	A0A074XSI2_9PEZI
A0A074Y691	A0A074Y691_AURPU
A0A074Y784	A0A074Y784_AURPU
